Date,Website,Title,Summary
"Mon, 16 Mar 2020 20:31:08 +0000",https://www.nytimes.com/2020/03/16/world/europe/italy-coronavirus-funerals.html,"Italy’s Coronavirus Victims Face Death Alone, With Funerals Postponed","As morgues are inundated, coffins pile up and mourners grieve in isolation: ‘‘This is the bitterest part.’’"
"Mon, 16 Mar 2020 18:24:38 +0000",https://www.nytimes.com/2020/03/16/technology/france-apple-antitrust-fine.html,France Fines Apple $1.2 Billion for Antitrust Issues,The fine comes as the iPhone maker deals with the impact of the coronavirus pandemic.
"Mon, 16 Mar 2020 05:15:25 +0000",https://www.nytimes.com/2020/03/16/briefing/coronavirus-france-italy.html,Your Monday Briefing,"Coronavirus, France, Italy: Here’s what you need to know."
"Mon, 16 Mar 2020 01:32:24 +0000",https://www.nytimes.com/2020/03/15/world/europe/cornonavirus-vaccine-us-germany.html,"U.S. Offered ‘Large Sum’ to German Company for Access to Coronavirus Vaccine Research, German Officials Say","The United States says it will share any vaccine breakthroughs with the world, but German officials appeared rattled by its reported overture to a biotech firm."
"Sun, 15 Mar 2020 22:03:13 +0000",https://www.nytimes.com/2020/03/15/world/europe/spain-coronavirus.html,"Spain, on Lockdown, Weighs Liberties Against Containing Coronavirus",Empty streets. Shuttered stores. Spain has joined the number of countries struggling to balance public health with freedoms especially prized in a relatively young democracy.
"Mon, 16 Mar 2020 04:47:10 +0000",https://www.nytimes.com/2020/03/15/world/europe/coronavirus-borders-fear.html,"Europeans Erect Borders Against Coronavirus, but the Enemy Is Already Within","In societies where life plays out on the street or in the cafe, where friends are greeted with kisses on the cheeks, the outbreak is creating fear and fragmentation."
"Sun, 15 Mar 2020 17:10:55 +0000",https://www.nytimes.com/2020/03/15/world/europe/coronavirus-inequality.html,"As Coronavirus Deepens Inequality, Inequality Worsens Its Spread","The pandemic is widening social and economic divisions that also make the virus deadlier, a self-reinforcing cycle that experts warn could have consequences for years to come."
"Mon, 16 Mar 2020 22:31:06 +0000",https://www.nytimes.com/article/coronavirus-travel-restrictions.html,Coronavirus Travel Restrictions and Bans Globally: Updating List,"Nations across the world have imposed travel restrictions to curb the spread of the coronavirus. Here, the current list of countries limiting entry."
"Sun, 15 Mar 2020 09:15:35 +0000",https://www.nytimes.com/2020/03/14/world/europe/france-coronavirus.html,Shutdowns Spread Across Europe as Spain and France Order Broad Restrictions,Other European countries are turning to border closures to try to contain the coronavirus.
"Mon, 16 Mar 2020 04:50:45 +0000",https://www.nytimes.com/2020/03/14/world/europe/italians-find-a-moment-of-joy-in-this-moment-of-anxiety.html,Italians Find ‘a Moment of Joy in This Moment of Anxiety’,"Under lockdown to prevent the spread of the coronavirus, song breaks out from rooftops, balconies and windows."
"Sat, 14 Mar 2020 21:57:24 +0000",https://www.nytimes.com/2020/03/14/world/europe/spain-coronavirus.html,Spain Imposes Nationwide Lockdown to Fight Coronavirus,"A day after an emergency was declared, government officials put in place sweeping restrictions on the public. Stay inside, residents were told."
"Tue, 17 Mar 2020 09:00:24 +0000",https://www.nytimes.com/2020/03/17/world/europe/coronavirus-city-life.html,Can City Life Survive Coronavirus?,"Cities are epicenters of capital and creativity, designed to be occupied collectively. Pandemics are anti-urban, preying on our human desire for connection."
"Tue, 17 Mar 2020 05:17:43 +0000",https://www.nytimes.com/2020/03/17/briefing/coronavirus-france-italy.html,Your Tuesday Briefing,"Coronavirus, France, Italy: Here’s what you need to know."
"Tue, 17 Mar 2020 10:27:05 +0000",https://www.nytimes.com/2020/03/16/world/europe/britain-coronavirus-boris-johnson.html,"Britain Stiffens Its Response to the Coronavirus, Somewhat","Prime Minister Boris Johnson urged Britons to stop going to pubs, clubs and restaurants, even as other European nations were closing their borders and issuing strict stay-at-home orders."
"Mon, 16 Mar 2020 22:36:15 +0000",https://www.nytimes.com/2020/03/16/theater/coronavirus-west-end-london.html,London’s Cultural Landmarks Shutter Amid Coronavirus Threat,"The city’s West End theater district, Royal Opera House and other premier venues closed Monday after the prime minister warned patrons to avoid the theater during the outbreak."
"Tue, 17 Mar 2020 04:33:08 +0000",https://www.nytimes.com/2020/03/16/world/europe/italy-coronavirus-funerals.html,"Italy’s Coronavirus Victims Face Death Alone, With Funerals Postponed","As morgues are inundated, coffins pile up and mourners grieve in isolation: ‘‘This is the bitterest part.’’"
"Mon, 16 Mar 2020 18:24:38 +0000",https://www.nytimes.com/2020/03/16/technology/france-apple-antitrust-fine.html,France Fines Apple $1.2 Billion for Antitrust Issues,The fine comes as the iPhone maker deals with the impact of the coronavirus pandemic.
"Mon, 16 Mar 2020 05:15:25 +0000",https://www.nytimes.com/2020/03/16/briefing/coronavirus-france-italy.html,Your Monday Briefing,"Coronavirus, France, Italy: Here’s what you need to know."
"Mon, 16 Mar 2020 01:32:24 +0000",https://www.nytimes.com/2020/03/15/world/europe/cornonavirus-vaccine-us-germany.html,"U.S. Offered ‘Large Sum’ to German Company for Access to Coronavirus Vaccine Research, German Officials Say","The United States says it will share any vaccine breakthroughs with the world, but German officials appeared rattled by its reported overture to a biotech firm."
"Sun, 15 Mar 2020 22:03:13 +0000",https://www.nytimes.com/2020/03/15/world/europe/spain-coronavirus.html,"Spain, on Lockdown, Weighs Liberties Against Containing Coronavirus",Empty streets. Shuttered stores. Spain has joined the number of countries struggling to balance public health with freedoms especially prized in a relatively young democracy.
"Mon, 16 Mar 2020 04:47:10 +0000",https://www.nytimes.com/2020/03/15/world/europe/coronavirus-borders-fear.html,"Europeans Erect Borders Against Coronavirus, but the Enemy Is Already Within","In societies where life plays out on the street or in the cafe, where friends are greeted with kisses on the cheeks, the outbreak is creating fear and fragmentation."
"Tue, 17 Mar 2020 00:18:01 +0000",https://www.nytimes.com/2020/03/15/world/europe/coronavirus-inequality.html,"As Coronavirus Deepens Inequality, Inequality Worsens Its Spread","The pandemic is widening social and economic divisions that also make the virus deadlier, a self-reinforcing cycle that experts warn could have consequences for years to come."
